hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
TUBERIA FUERA DE VIVIENDA,Communal tap outside locality,well pump,,,,,,Tanker truck,,mare/lac/marigot,,,,,pozo privado,
Tap,Communal tap within locality,well w /manual pump,,,,,,buy from priv. indiv,,mare/ruisseau/cours d'eau river or stream,,,,,pozo publico o privado,
Tap From Other Individuals/Institutions,FontaineFree,well water with pump,,,,,,"Cami¢n, tanque aguat",,"marigot,lac",,,,,pozo público,
Tap Inside Compound- Private,Fontainepay,well with electrical pump,,,,,,Bouser/tanker,,nile /canals,,,,,pozo publico,
Tap Inside the House,Pilón? / Public Tap,well with handpump,,,,,,Purchase ofwater truck,,"nile, canal",,,,,pozo sin bomba,
Tap Outside Compound- Shared,Public tap or standpipe,well with pump,,,,,,Purchasebuckets,,no pipe of river or spring,,,,,pozo sin bomba de mano,
Tap at home,Public water shared,pozo con bomba (electrica o manual),,,,,,Purchasetreated water,,non-protected surface water {cg},,,,,poço,
Tekuca voda u dvoristu,Stand pipe outside plot,pozo mecánico/manual,,,,,,Tank Truck,,open water,,,,,private well,
Tekuca voda u stanu,Stand pipe within plot,open well with sum pump,,,,,,Truck / wagon,,"per carry river, canal or stream",,,,,"private, vat/drum/well, not piped",
Tuberia dentro de la vivienda,Standpipe outside plot/lolwapa,Deet tubewell,,,,,,"Truck, cart or pipe",,pond,,,,,private- not piped,
"Tuberia fuera de la vivienda, pero dentro del terreno",Standpipe within plot/lolwapa,Handpump in residence/yard/plot,,,,,,"Truck,Tank",,pond  / lake,,,,,private/not piped,
With pipe in the house Well winch,Standpiped,Shallow tubewell,,,,,,Truck-bourne 5,,pond / lake,,,,,public,
With pipe in the house from another source,Supply water/Tap,Tubewell,,,,,,Vendor or bowser or bottled,,pond /dam/lake,,,,,public /private well,
With pipe in the house of river or spring,common distribution from network,Public handpump,,,,,,"Water vendor bowser, bottled",,pond /lake,,,,,public network,
With pipe in the house private system,fountain,borehole/pump ,,,,,,Watertanktruck,,pond /tank/lake,,,,,public shallow well,
With pipe in the house public system,jetpublic,public well w/pump,,,,,,bought,,pond lake,,,,,public water,
With pipe in the house street vendors,neighbors stand pipe,well equipped with pump,,,,,,bouser/tanker,,"pond, lake",,,,,public watersupply,
With pipe in the house well with electric pump,public Fountain,protect. well/borehl,,,,,,cart with tank/drum,,"pond, rever, or stream",,,,,public well,
With pipe in the house well with hand pump,public tap or standpipe,handpump in yrd/plot,,,,,,pump trucks,,"pond, river or stream",,,,,public well or tank,
With pipe outside the dwelling but within the propertyWell winch,public tap/stand-pipe,"well, manual pump",,,,,,"tank, ponds reserved for drinking",,"pond, river, stream",,,,,public well/tank,
With pipe outside the dwelling but within the propertyfrom another source,public-tap outside,well w/manual pump,,,,,,tanker,,"pond,lake",,,,,public- well or tank,
With pipe outside the dwelling but within the propertyof river or spring,stand pipe out plot,"Bore hole, tube or mechanical well",,,,,,truck,,"pond,river or stream",,,,,public/neighbor's well,
With pipe outside the dwelling but within the propertyprivate system,Hydrant,Public or privateborehole,,,,,,water-carrier/tanker,,pond/ lake,,,,,puits,
With pipe outside the dwelling but within the propertypublic system,"Piped water outside, public fountain",Pump well,,,,,,water-tanker,,pond/lake,,,,,puits ds la conces,
With pipe outside the dwelling but within the propertystreet vendors,Standpipe,Tube-well,,,,,,purchase,,pond/lake/dam,,,,,puits public,
With pipe outside the dwelling but within the propertywell with electric pump,Public office,borehole off site,,,,,,tank,,pond/swamp/reservoir,,,,,puits sans pompe,
With pipe outside the dwelling but within the propertywell with hand pump,Since public or private,borehole on site,,,,,,tank wagon,,pond/tank/lake,,,,,puits trad.prot‚g‚ ou non prot‚g‚,
With pipes outside the property at less than 100 meters Well winch,piped public fountain,borehole or tube well,,,,,,"Tanker Truck, Vender or  Otherwise bought",,pool or pond,,,,,puits.public/priv.,
With pipes outside the property at less than 100 meters from another source,Public tab,boreholes/protected wells,,,,,,tanker truck/ cistern,,"por acarreo de un arroyo, jaguey, rio, etcetera",,,,,puits/source/metfia/duer,
With pipes outside the property at less than 100 meters of river or spring,Public Standpipe,pumps,,,,,,Outside the field- Transport by tanker,,protected pond,,,,,rain water/spring,
With pipes outside the property at less than 100 meters private system,pub pipe,tube/piped well,,,,,,Outside the home but within the field- Transport by tanker,,protected surface water {cg},,,,,regular well,
With pipes outside the property at less than 100 meters public system,Battery or Jet Public,"tubewell, hand pump",,,,,,tank car,,public reservoir,,,,,semi-protected well,
With pipes outside the property at less than 100 meters street vendors,Piped water community supply,Drilling,,,,,,sales company of water,,resevoir,,,,,"si, fuera de la viv",
With pipes outside the property at less than 100 meters well with electric pump,Power supply (with installation inside the house)- Community public water,bore hole,,,,,,vendor: cart with small tank,,rio ou riacho,,,,,sonede,
With pipes outside the property at less than 100 meters well with hand pump,Power supply (with installation outside the house)- Community public water,Tubed/Piped Well or  Borehole,,,,,,,,"rio, acequia manant.",,,,,source,
With pipes outside the property to more than 100 meters Well winch,,Well/borehole,,,,,,,,"rio, acequia, manant",,,,,spring,
With pipes outside the property to more than 100 meters from another source,,Tube well/bore hole with pump,,,,,,,,"rio, acequia, manantial, ojo de agua",,,,,spring (out of conc),
With pipes outside the property to more than 100 meters of river or spring,,Outside the field- Drilling motor pump,,,,,,,,rio/acequia/manantial,,,,,spring or well,
With pipes outside the property to more than 100 meters private system,,Outside the field- Drilling with hand pump,,,,,,,,"rio, lago o man.",,,,,spring water,
With pipes outside the property to more than 100 meters public system,,Outside the home but within the field- Drilling motor pump,,,,,,,,"rio, lago, manantial",,,,,"spring, kuwa",
With pipes outside the property to more than 100 meters street vendors,,Outside the home but within the field- Drilling with hand pump,,,,,,,,"rio, lago o manantial",,,,,springs,
With pipes outside the property to more than 100 meters well with electric pump,,Private borehole,,,,,,,,"rio, manantial, agua de superficie",,,,,sprong/kuwa,
With pipes outside the property to more than 100 meters well with hand pump,,Public borehole,,,,,,,,"rio, quebrada, arroyo",,,,,supply public well or tank,
"Yes, piped water",,handpump/tubewell water,,,,,,,,"rio, vertiente",,,,,surface well/other well,
acqueducto veredal,,,,,,,,,,"rio, vertiente, o acequia",,,,,take from other private well,
acueducta veredal,,,,,,,,,,"río, quebrada, lago, ojo de agua o manantial",,,,,tiene agua de un pozo,
acueducto de la comunidad,,,,,,,,,,rio/vertiente,,,,,"trae,comp. de vecino",
acueducto particular,,,,,,,,,,rio/vertiente/acequia/canal,,,,,un pozo,
acueducto público,,,,,,,,,,river,,,,,underground water,
acueducto veredal,,,,,,,,,,river / stream,,,,,underground water (> 5 meters),
agua canalizada con una conexión en la casa o en el jardín,,,,,,,,,,river /canal,,,,,"vat, drum",
agua canalizada dentro de casa,,,,,,,,,,river /stream,,,,,water from well,
agua canalizada em casa,,,,,,,,,,river or stream,,,,,water in drums/big cans,
agua canalizada no quintal,,,,,,,,,,river stream,,,,,water supply is close to the building,
agua de chorro (dentro de la casa),,,,,,,,,,river water,,,,,water well by your house,
agua de chorro (patio),,,,,,,,,,"rivers, lakes, ponds",,,,,wather from neighbors,
agua de pipa,,,,,,,,,,"river, creek",,,,,well,
agua de tubería en la casa,,,,,,,,,,"river, lake",,,,,well (non-borehole),
agua de tubería en el patio o lote,,,,,,,,,,"river, lake or spring water",,,,,well (out of conc),
agua de tuberia en el patio o lote,,,,,,,,,,"river, lake, creek, spring",,,,,well /spring outside,
agua de tuberia en la casa,,,,,,,,,,"river, lake, pond",,,,,well <=200m,
agua encanada(cozi.),,,,,,,,,,"river, lake, pond or similar",,,,,well >200m,
agua encanada(quin.),,,,,,,,,,"river, lake, pond, irrigation channel",,,,,well in house/garden,
agua entubada con una conexión en la casa o en el jardín,,,,,,,,,,"river, lake, pond, or similar",,,,,well in house/yard/plot,
agua entubada de otra vivienda,,,,,,,,,,"river, lake, roof, irrigation canal",,,,,"well in res, yard",
agua entubada dentro de la vivienda,,,,,,,,,,"river, lake, sea",,,,,well in resid./plot,
agua entubada fuera de la vivienda pero en el terreno,,,,,,,,,,"river, lake, spring, marsh",,,,,well in residence,
"agua entubada fuera de la vivienda pero si en el edificio, vecindad o",,,,,,,,,,"river, lake, spring, pond",,,,,well in yard,
agua por tuberia de pila o grifo privado,,,,,,,,,,"river, pond",,,,,well into dwelling/yard/plot,
agua por pipa,,,,,,,,,,"river, pond, lake {cg}",,,,,well or spring,
agua por pipa del servicio particular,,,,,,,,,,"river, spring",,,,,well or water wheel,
agua por pipa del servicio publico,,,,,,,,,,"river, spring, stream",,,,,well outside residence,
agua por tuberia dentro de la vivienda,,,,,,,,,,"river, spring, surface water",,,,,well w /o manual pump,
"agua por tuberia fuera de la vivienda, dentro del terreno ",,,,,,,,,,"river, spring,stream",,,,,well w/o handpump,
"agua por tuberia fuera de la vivienda, dentro del terreno",,,,,,,,,,"river, stream",,,,,well water,
agua tuberia red publica dentro vivienda,,,,,,,,,,"river, stream, pond, lake",,,,,well water (residence or yard),
agua tuberia red publica fuera vivienda,,,,,,,,,,"river, tank, etc",,,,,well water with winch,
aqueduct. public net,,,,,,,,,,"river,spring,pond /ma",,,,,well without electrical pump,
canalização externa,,,,,,,,,,"river,spring,surface",,,,,well without handpump,
canalização interna,,,,,,,,,,"river,spring,surface ",,,,,well without hndpump,
cañería al hogar,,,,,,,,,,"river,stream",,,,,well without pump,
cañeria (chorro) del vecino,,,,,,,,,,"river,stream ",,,,,"well, well or spring water",
cañeria (chorro) dentro de la vivienda,,,,,,,,,,river/ stream,,,,,well/tank,
cañeria (chorro) fuera de la vivienda pero dentro de la propiedad,,,,,,,,,,river/canal,,,,,wells,
centralized pipeline,,,,,,,,,,river/canal/lake/pond,,,,,wells/spring,
centralized water pipe,,,,,,,,,,river/canal/tank,,,,,ÿpublic well,
chorro de vecino,,,,,,,,,,river/canal/weir,,,,,ÿspring,
chorro en casa,,,,,,,,,,river/dam/,,,,,ÿspring                                   {from 41},
chorro en patio,,,,,,,,,,river/dam/lake/pond/stream/canal/irrigation channel,,,,,ÿû public well,
cut official pipe,,,,,,,,,,river/dam/lake/ponds/stream/canal/irirgation channel,,,,,ÿû spring,
cut pipe,,,,,,,,,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,agua del vecino o de un familiar,
de la llave/cisterna del vecino,,,,,,,,,,river/lake,,,,,pozo malacate (sin bomba),
de la red pública dentro de la vivienda,,,,,,,,,,river/stream,,,,,agua de manantial,
de una pipa del servicio particular,,,,,,,,,,river/stream not protected,,,,,pozo en la casa,
de una pipa del servicio publico,,,,,,,,,,river/stream/creak/pond/stream,,,,,well without handpum,
del acueducto del patio de la casa,,,,,,,,,,river/stream/creek/pond/spring,,,,,pozo colectivo,
del acueducto dentro de la casa,,,,,,,,,,river/stream/lake,,,,,pozo p£blico,
del acueducto en el patio de la casa,,,,,,,,,,river/stream/lake/pond,,,,,Surface well/other well,
del acueducto fuera de la casa(acera),,,,,,,,,,river/stream/pond/lake,,,,,well in residence/garden,
desalinated piped,,,,,,,,,,river/stream/pond/lake/dam,,,,,well in residence/yard/compound,
eau  robinet dans  logement,,,,,,,,,,river/stream/spring,,,,,Well in residence/yard/plot,
eau  robinet dans cour/ parcelle,,,,,,,,,,river/surface water,,,,,well/spring inside,
eau de robinet dans la cour,,,,,,,,,,riviere,,,,,well/spring outside,
eau de robinet dans la cour / parcelle,,,,,,,,,,"riviere, lac, source, marigot",,,,,Public well,
eau de robinet dans la cours,,,,,,,,,,"riviŠre, ruisseau",,,,,surface well/other w ,
eau de robinet dans la parcelle voisine,,,,,,,,,,riviŠre/ruisseau,,,,,Well in residence,
eau de robinet dans le llogement,,,,,,,,,,"r¡o, acequia",,,,,"well, no pump",
eau de robinet dans le logement,,,,,,,,,,"r¡o, acequia, manant",,,,,well w/o manual pump,
eau de robinet dns le logement,,,,,,,,,,"r¡o,acequia,manantia",,,,,Olho D agua/Mina,
eau du robinet,,,,,,,,,,"río, vertiente, quebrada, lluvia",,,,,Poco,
eau du robinet dans la cour,,,,,,,,,,río/quebrada/arroyo,,,,,Pozo o aljibe,
eau du robinet dans la cour/concession,,,,,,,,,,"sea, lake",,,,,Neighbors,
eau du robinet dans la cours,,,,,,,,,,spring /river/stream,,,,,Private Well,
eau du robinet dans le lgt,,,,,,,,,,"spring, river, lake",,,,,Private well,
eau du robinet dans le logement,,,,,,,,,,"spring, river, lake, pond",,,,,Public or private well,
eau du robinet dans logement,,,,,,,,,,"spring, river, lake, pond ",,,,,Spring water,
eau du robinet ds le logement,,,,,,,,,,"spring, river, string",,,,,Spring-fountain,
entrega de agua a domicilio (pipa),,,,,,,,,,"spring,river,creek",,,,,Spring/Fountain,
faucet in residence,,,,,,,,,,spring/river,,,,,Spring/well/borehole,
faucet not in reside,,,,,,,,,,stream or river,,,,,Waterhole or spring,
indoor faucet,,,,,,,,,,stream/pond/river,,,,,Well in the house/ patio,
indoor plumbing,,,,,,,,,,stream/spring/well,,,,,Well in the yard,
indoor tap/pipe,,,,,,,,,,streams,,,,,Well or borehole,
la red publica de otra vivienda,,,,,,,,,,surface /other well,,,,,Wellsin the vicinity,
"la red publica, dentro de la vivienda",,,,,,,,,,surface water,,,,,neighbour,
"la red publica, fuera de la vivienda pero dentro del terreno",,,,,,,,,,"surface water (river, dam,lake,stream...)",,,,,public tank or well,
naighbor's tap,,,,,,,,,,"surface water (river, stream, dam, lake",,,,,public well (spring),
neighbor - piped,,,,,,,,,,"surface water (river, stream, dam, lake, etc.)",,,,,well in yard (spring),
neighbor pipe,,,,,,,,,,surface water (river/dam),,,,,well-inside house,
neighbor's faucet,,,,,,,,,,surface water (river/dam/lake/pond/stream/canal/irrigation c,,,,,well-outside house,
neighbor's tap,,,,,,,,,,surface water (river/stream/creek/lake/,,,,,well-tank,
"neighbor's tap, nawasa (others recode)",,,,,,,,,,surface water (river/stream/creek/lake/pond/canal),,,,,underground spring,
"neighbor's tap, source unknown (others recode)",,,,,,,,,,"surface water (spring, river, pond, lake)",,,,,well/river,
neighbour's tap,,,,,,,,,,"surface water(iver, stream,dam etc)",,,,,Aqueduct and tankers,
other piped source,,,,,,,,,,"surface water(river,stream,dam etc)",,,,,Matfiacollective,
"other source, by tub",,,,,,,,,,surface water(river/dam/lake/pond/stream/canal/irrigation ch,,,,,Matfiaprivate,
"other source, piped",,,,,,,,,,"surface water, spring, river, stream",,,,,foundatin- Nabah,
otra fuente por tub.,,,,,,,,,,surface/other well,,,,,private dwelling,
otra fuente por tuberia,,,,,,,,,,tank/pond/reservoir,,,,,Public well or tank,
"otra fuente, por tuberia",,,,,,,,,,"tiene agua de un rio, arroyo, lago u otro",,,,,Outside the field- well,
"otra fuente, tuber¡a",,,,,,,,,,"un rio, arroyo, lago u otro",,,,,Outside the home but within the field- well,
"otro fuente, tiber¡a",,,,,,,,,,"un rio, arroyo, o lago",,,,,Truck pipe water,
outdoor plumbing by your house,,,,,,,,,,"un río, arroyo, lago u otro",,,,,"Truck, Wagon or Pipe",
outside faucet,,,,,,,,,,uncovered pool,,,,,Well superficial,
outside pipe,,,,,,,,,,unprotected pond,,,,,spring/well/borehole,
outside private pipe/tap,,,,,,,,,,ÿdam,,,,,,
outside private tap,,,,,,,,,,ÿpond/lake,,,,,,
pipe,,,,,,,,,,ÿriver/stream,,,,,,
pipe borne water not treated,,,,,,,,,,ÿriver/stream                             {from 42},,,,,,
pipe borne water treated,,,,,,,,,,ÿû dam,,,,,,
pipe in neighbouring household,,,,,,,,,,ÿû lake,,,,,,
pipe into dwelling,,,,,,,,,,ÿû river,,,,,,
pipe outside dwelling,,,,,,,,,,"fuente natural:rio, quebrada, naciente, vertiente, lago",,,,,,
pipe water,,,,,,,,,,"río, lago o manantial",,,,,,
pipe-borne outside dwelling,,,,,,,,,,río/acequia/manantial,,,,,,
pipe-borne outside house,,,,,,,,,,"rio, acequia ",,,,,,
piped  - into yard/plot,,,,,,,,,,"rio, acequia",,,,,,
piped  outside dwelling,,,,,,,,,,dam/lake/pan,,,,,,
piped - internal,,,,,,,,,,flowing river,,,,,,
piped - into dwelling,,,,,,,,,,"river,spring,surf. w ",,,,,,
piped - into yard/plot,,,,,,,,,,sand river (riverbed,,,,,,
piped - yard tap,,,,,,,,,,"river,spring,surf. w ",,,,,,
piped elsewhere,,,,,,,,,,"r¡o, estanque",,,,,,
piped in dwelling,,,,,,,,,,ocean/lake,,,,,,
piped in dwelling/yard/plot,,,,,,,,,,Pond/tank/lake,,,,,,
piped in house,,,,,,,,,,"Pond, lake",,,,,,
piped in residence,,,,,,,,,,"river,spring,surf. w",,,,,,
piped in yard,,,,,,,,,,Acude,,,,,,
piped in yard /plot,,,,,,,,,,Rio ou Riacho,,,,,,
piped inside dwel.,,,,,,,,,,"R¡o,acequia,manantia",,,,,,
piped inside dwell.,,,,,,,,,,Battery or public stream,,,,,,
piped inside dwelling,,,,,,,,,,Dam/Pan,,,,,,
piped inside dwelln',,,,,,,,,,Dam/lake/pan,,,,,,
"piped into building, but not into dwelling treated",,,,,,,,,,Dam/pan/lake,,,,,,
"piped into building, but not into dwelling untreated",,,,,,,,,,Flowing river,,,,,,
piped into compound,,,,,,,,,,"Ojo de Agua, river or stream",,,,,,
piped into compound/plot,,,,,,,,,,Pond/Dam/Lake,,,,,,
piped into courtyard,,,,,,,,,,Pond/Ditch/Canal/River,,,,,,
piped into dweling,,,,,,,,,,Ponds/rivers/streams,,,,,,
piped into dwelling,,,,,,,,,,River or stream,,,,,,
piped into dwelling treated,,,,,,,,,,"River, creek",,,,,,
piped into dwelling untreated,,,,,,,,,,"River, lake, spring",,,,,,
piped into house,,,,,,,,,,"River, stream, creek",,,,,,
piped into house/yard/plot,,,,,,,,,,River/ Canal,,,,,,
piped into household/yard,,,,,,,,,,Sand river (riverbed),,,,,,
piped into neighbor' yard/plot {cg},,,,,,,,,,Sourceor river,,,,,,
piped into neighbourhood,,,,,,,,,,"Spring, river, stream",,,,,,
piped into own dwelling,,,,,,,,,,"Spring, river, stream, canal",,,,,,
piped into premises,,,,,,,,,,Spring/river,,,,,,
"piped into res, yard",,,,,,,,,,Stagnant water,,,,,,
piped into residence,,,,,,,,,,Stream,,,,,,
piped into residence /garden,,,,,,,,,,dam/pan,,,,,,
piped into residence/plot,,,,,,,,,,irrigation canal,,,,,,
piped into residence/yard,,,,,,,,,,lake-river,,,,,,
piped into residence/yard/plot,,,,,,,,,,river/canal/lake,,,,,,
piped into someone else's yard/plot,,,,,,,,,,river/lake/creek,,,,,,
piped into tap in yard/plot,,,,,,,,,,river/strea/pond/lake/dam,,,,,,
piped into yard,,,,,,,,,,river/stream/creek,,,,,,
piped into yard /plot,,,,,,,,,,"spring, lake, river, pond",,,,,,
piped into yard or plot,,,,,,,,,,spring/river/lake/pond,,,,,,
piped into yard or plot ìî¨øø©ø¨,,,,,,,,,,"surface water (river, lake, pond)",,,,,,
piped into yard/ plot treated,,,,,,,,,,water containers,,,,,,
piped into yard/ plot untrated,,,,,,,,,,River bed,,,,,,
piped into yard/lot,,,,,,,,,,Rivers or lakes,,,,,,
piped into yard/plot,,,,,,,,,,flowing water,,,,,,
piped into yard/plot/building,,,,,,,,,,river/steam/pond,,,,,,
piped into yard/spot,,,,,,,,,,well or river,,,,,,
piped onto property,,,,,,,,,,"Pond, River or Stream",,,,,,
piped out of resid.,,,,,,,,,,River/stream/water hole,,,,,,
piped outside,,,,,,,,,,surface water (river/dam/lake/pond/stream/canal/irrigation channel,,,,,,
piped outside compound,,,,,,,,,,surface water (river/dam/lake/pond/stream/canal/irrigation channel),,,,,,
piped outside dwel.,,,,,,,,,,"spring, river, stream, rain",,,,,,
piped outside dwell.,,,,,,,,,,"Ojo de Agua, River or Creek",,,,,,
piped outside dwellg,,,,,,,,,,"Outside the field- Rain water, river, canal, creek or ditch",,,,,,
piped outside dwelling,,,,,,,,,,"Outside the home but within the field- Rain water, river, canal, creek or ditch",,,,,,
piped outside dwelling / within resinct,,,,,,,,,,Quebra-da river or lake,,,,,,
piped outside dwelling but within buikding,,,,,,,,,,pond/dam/lake,,,,,,
piped outside reside,,,,,,,,,,"public fountain, well, river, etc",,,,,,
piped outside residence,,,,,,,,,,river or creek,,,,,,
piped public /private,,,,,,,,,,stream,,,,,,
piped supply outside neighbourhood,,,,,,,,,,spring/stream/waterhole,,,,,,
piped surface water in house /garden,,,,,,,,,,,,,,,,
piped surface water in house/garden,,,,,,,,,,,,,,,,
piped to neighbour,,,,,,,,,,,,,,,,
piped to public tap,,,,,,,,,,,,,,,,
piped to resid./plot,,,,,,,,,,,,,,,,
piped to yard/plot,,,,,,,,,,,,,,,,
piped water,,,,,,,,,,,,,,,,
piped water  (piped into residence or yard),,,,,,,,,,,,,,,,
piped water from rural system,,,,,,,,,,,,,,,,
piped water from utility company,,,,,,,,,,,,,,,,
piped water in house/garden,,,,,,,,,,,,,,,,
piped water in site/yard,,,,,,,,,,,,,,,,
piped water inside dwelling,,,,,,,,,,,,,,,,
piped water outside dwelling,,,,,,,,,,,,,,,,
piped water outside lot,,,,,,,,,,,,,,,,
piped water outside premises,,,,,,,,,,,,,,,,
"piped water outside structure, but within lot",,,,,,,,,,,,,,,,
piped water within premises,,,,,,,,,,,,,,,,
piped water within structure,,,,,,,,,,,,,,,,
"piped, inside house",,,,,,,,,,,,,,,,
"piped, outside house",,,,,,,,,,,,,,,,
pirvate piped into yard,,,,,,,,,,,,,,,,
plumbing,,,,,,,,,,,,,,,,
private catchment piped,,,,,,,,,,,,,,,,
private connection to pipeline,,,,,,,,,,,,,,,,
private outside tap,,,,,,,,,,,,,,,,
private pipe,,,,,,,,,,,,,,,,
private piped into dwelling,,,,,,,,,,,,,,,,
private piped into yard,,,,,,,,,,,,,,,,
private tap,,,,,,,,,,,,,,,,
private tap water,,,,,,,,,,,,,,,,
private water piped into the household,,,,,,,,,,,,,,,,
private water piped outside the household,,,,,,,,,,,,,,,,
"private, piped into dwelling",,,,,,,,,,,,,,,,
private- piped into dwelling,,,,,,,,,,,,,,,,
private/ piped into yard,,,,,,,,,,,,,,,,
public piped,,,,,,,,,,,,,,,,
public piped in dwelling,,,,,,,,,,,,,,,,
public piped in yard,,,,,,,,,,,,,,,,
public piped into dwelling,,,,,,,,,,,,,,,,
public piped into yard,,,,,,,,,,,,,,,,
public piped into yard or plot,,,,,,,,,,,,,,,,
public piped into yardd,,,,,,,,,,,,,,,,
public piped water outside house/garden,,,,,,,,,,,,,,,,
public tap/neighbours house,,,,,,,,,,,,,,,,
public water piped into the household,,,,,,,,,,,,,,,,
public water piped outside the household,,,,,,,,,,,,,,,,
"public, piped into dwelling",,,,,,,,,,,,,,,,
"public, piped into yard",,,,,,,,,,,,,,,,
public- piped into yard,,,,,,,,,,,,,,,,
public/nieghbor's tap,,,,,,,,,,,,,,,,
red pub. dentro viv.,,,,,,,,,,,,,,,,
red pub. fuera viv.,,,,,,,,,,,,,,,,
red pub. fuera vivienda,,,,,,,,,,,,,,,,
red publica,,,,,,,,,,,,,,,,
red publica acueducto,,,,,,,,,,,,,,,,
red publica y carro repartidor,,,,,,,,,,,,,,,,
red p£blica (acqed),,,,,,,,,,,,,,,,
red p£blica (acued),,,,,,,,,,,,,,,,
red p£blica(acueduc),,,,,,,,,,,,,,,,
red p£blica en viv.,,,,,,,,,,,,,,,,
"red pública fuera de la vivienda, pero dentro del terreno",,,,,,,,,,,,,,,,
red p£blica fuera v.,,,,,,,,,,,,,,,,
robinet chez le voisin,,,,,,,,,,,,,,,,
robinet dans cour/parcelle,,,,,,,,,,,,,,,,
robinet dans logement,,,,,,,,,,,,,,,,
robinet dedans,,,,,,,,,,,,,,,,
robinet dehors,,,,,,,,,,,,,,,,
robinet ds la conces,,,,,,,,,,,,,,,,
robinet ds logement,,,,,,,,,,,,,,,,
robinet en logement,,,,,,,,,,,,,,,,
robinet en parcelle,,,,,,,,,,,,,,,,
robinet voisin,,,,,,,,,,,,,,,,
run water(in conces),,,,,,,,,,,,,,,,
running for several households,,,,,,,,,,,,,,,,
running water,,,,,,,,,,,,,,,,
running water in apartment/house,,,,,,,,,,,,,,,,
running water in the home,,,,,,,,,,,,,,,,
running water in the yard,,,,,,,,,,,,,,,,
running water inside the dwelling,,,,,,,,,,,,,,,,
running water outside the dwelling,,,,,,,,,,,,,,,,
rural (local) plumbing,,,,,,,,,,,,,,,,
rural aqueduct,,,,,,,,,,,,,,,,
tap,,,,,,,,,,,,,,,,
tap in compound,,,,,,,,,,,,,,,,
tap in courtyard,,,,,,,,,,,,,,,,
tap in dwelling,,,,,,,,,,,,,,,,
tap in house,,,,,,,,,,,,,,,,
tap water,,,,,,,,,,,,,,,,
tap water inside the dwelling,,,,,,,,,,,,,,,,
tap water outside the dwelling,,,,,,,,,,,,,,,,
tiene agua de la red publica de otra vivienda,,,,,,,,,,,,,,,,
tiene agua de la red publica dentro de la vivienda,,,,,,,,,,,,,,,,
"tiene agua de la red publica fuera de la vivienda, pero dentro del ter",,,,,,,,,,,,,,,,
tiene agua de una pipa,,,,,,,,,,,,,,,,
torneira do vizinho,,,,,,,,,,,,,,,,
"tuberia (red), dentro de la vivienda",,,,,,,,,,,,,,,,
tuberia de un chorro publico,,,,,,,,,,,,,,,,
tuberia dentro de la vivienda,,,,,,,,,,,,,,,,
tuberia en el patio,,,,,,,,,,,,,,,,
tuberia fuera de la vivienda,,,,,,,,,,,,,,,,
tuberia fuera de la vivienda pero en el terreno,,,,,,,,,,,,,,,,
tuberia publica,,,,,,,,,,,,,,,,
tubería al hogar,,,,,,,,,,,,,,,,
tubería dentro de la vivienda,,,,,,,,,,,,,,,,
tubería en el patio o lote,,,,,,,,,,,,,,,,
tubería en el patio/parcela,,,,,,,,,,,,,,,,
tubería en la casa,,,,,,,,,,,,,,,,
una pipa,,,,,,,,,,,,,,,,
urban plumbing,,,,,,,,,,,,,,,,
Água canalizada dentro da casa,,,,,,,,,,,,,,,,
Água canalizada fora da casa,,,,,,,,,,,,,,,,
Água canalizada no quintal,,,,,,,,,,,,,,,,
ÿpiped into residence,,,,,,,,,,,,,,,,
ÿpiped into residence                     {from 11},,,,,,,,,,,,,,,,
ÿû piped into neighbor' residence,,,,,,,,,,,,,,,,
ÿû piped into own residence,,,,,,,,,,,,,,,,
chorro del vecino ,,,,,,,,,,,,,,,,
chorro particular,,,,,,,,,,,,,,,,
llave dentro de la vivienda ,,,,,,,,,,,,,,,,
de pipa,,,,,,,,,,,,,,,,
otra fuente por tubería,,,,,,,,,,,,,,,,
llave fuera de la vivienda pero dentro de la propiedad,,,,,,,,,,,,,,,,
red dentro de la vivienda,,,,,,,,,,,,,,,,
red fuera pero dentro del edificio,,,,,,,,,,,,,,,,
pipe outside plot,,,,,,,,,,,,,,,,
ca¤er¡a privada,,,,,,,,,,,,,,,,
Piped outside dwelling,,,,,,,,,,,,,,,,
piped water into residence/yard/compound,,,,,,,,,,,,,,,,
Piped into residence/yard/plot,,,,,,,,,,,,,,,,
spring water piped into house/garden,,,,,,,,,,,,,,,,
piped into plot/yard,,,,,,,,,,,,,,,,
piped in yard/plot,,,,,,,,,,,,,,,,
piped into house/compound/plot,,,,,,,,,,,,,,,,
piped into residence/yard/compound,,,,,,,,,,,,,,,,
piped public/private,,,,,,,,,,,,,,,,
piped into own residence/yard/plot,,,,,,,,,,,,,,,,
piped water into residence,,,,,,,,,,,,,,,,
rural/priv. aqueduct ,,,,,,,,,,,,,,,,
piped not in residen,,,,,,,,,,,,,,,,
piped into backyard,,,,,,,,,,,,,,,,
Agua Encanada(cozi.),,,,,,,,,,,,,,,,
Agua Encanada(quin.),,,,,,,,,,,,,,,,
Acueducto veredal,,,,,,,,,,,,,,,,
"Otra fuente, tuber¡a",,,,,,,,,,,,,,,,
