pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
baño conectado a red pública,camara s‚ptica,"3. Inodoro con desagüe a río, laguna, mar",latrine avec dalle non ventill‚e,latrine améliorée à ventillation,toilet para compostación (fertilizante),Pan or bucket,Letrina indiv s/caj,hanging toilet/hanging latrine,bush / field,Other (specify),Not stated,,,Common-latrine shared with another household,
baÑo moderado conectado a red publica,cesspit,....flush - don't know,Latrines couvertes,latrine avec dalle ventill‚e,Toilettes a compostage,pan/bucket,letrina privada sin cajon,hanging toilet/latrine,bush /field,other (specify),Not stated/Do not know,,,communal latrine,
Baño moderno letrina a red pública,cesspool,....flush - to pit latrine,latrines couvertes,latrine … ventilation,toilettes a compostage,pots de champbre,letrina privada sin cajón,"Inodoro, que descarga en rio o quebrada",bush /forest/yard,other type of toilet,NS,,,communal pit toilet,
black hole or blind well to piped public drainage,"Cesspool, cess pit, septic pit",..traditional with bucket flush,latrines tradionnelle couertes,latrines ameliorees a ventilation,Uncovered dry latrine (without privacy),sceau,non-vip pit latrine without slab,"inodoro, que descarga en rio o quebrada","bush, forest, yard",Other Types,ns/nr,,,de hueco o letrina,
chase d'eau avec égout ou avec fosse septique,"cesspool, cess pit, septic pit",..traditional with tank flush,latrines traditionnelle ameliorees,latrines ameliorees a ventillation,abonera,seau,open latrine,latrine over river/lake,bush/field (abonera),other types,nsp,,,De hueco o letrina,
chasse branchee a egout,cesspool or latrine,2. Inodoro (De lavar),Letrina colec c/caj,latrines ameliorees auto aerees (laa),letrina abonera,Seaux/tinettes,open pit,no tiene sanitario/usa el río,bush/forest,others,NZ,,,descarga para latrina,
chasse branchee a l'egout,Chasse branchee a fosse septique,Avec chasse d'eau,letrina compartida con cajon,Latrines ameliorees auto aerees (LAA),letrina abonera seca con plataforma para sentarse,seaux/tinettes,open pit latrine,other - to river/lake/ocean,bush/forest/yard/field/no facility,Others,não resposta,,,edicule publict latrine,
Chasse branchee a l'egout,chasse branchee a fosse septique,chasse avec fossee,letrina compartida con cajón,latrines amelior‚es (vip),letrina abonera seca sin plataforma para sentarse ,service or bucket latrine where excreta are manually removed,open pit toilet,pond,bushes/forest/yard,others (specify),Uninformed,,,evacuación a letrina,
chasse branchée a l'égoût,chasse branchée a fosse septique,chasse branchee a autre chose,letrina con taza/excusado,latrines améliorées ventillées,Chemical toilet,pail/bucket latrine,open privy,pond/lake,"capim, mato, ar livre",Otra,Unknown,,,evacuación a otro lugar,
chasse d'eau avec egouts ou avec fosse sceptique,chasse branchée a puits perdu,Chasse branchee a autre chose,Letrina indiv c/caj,letrina ventilada/mejorada,Composting Toilet,pan or bucket,open toilet,rio o quebrada,Dans la  Nature,otra,unknown,,,ex.co. sans ch d eau,
chasse d'eau avec egouts ou fosse sceptique,chasse d'eau ou fosse septique,chasse branchee a endroit inconnu,letrina privada con cajon,own vent. imp. lat.,enviro-loo communal,private pan,open well/hole in the ground,"rios, ribeiros e linha de água",Dans la nature,otra forma,unspecified,,,ex.pr. sans ch d eau,
chasse d'eau avec egouts ou fosse septiques,com fossa septica e poco roto,Chasse branchee a endroit inconnu,letrina privada con cajón,pit latrine - ventilated improved pit (vip),own enviro-loo,pail,"open, rudimentary",river,dans la nature,Otro,Not stated/don't know,,,Exclusive Pit Latrine,
chasse eau avec egouts ou fosse,Conectado a tanque séptico,chasse branchee a fosses simples,letrina sanitaria,Pit latrine ventilated and not elevated,composite toilet,,pit latrine - without slab / open pit,river /canal,Defecation in field/ outsied the house,OTRO,not dejure resident,,,excusado,
chasse raccordee & l'egout,conectado a tanque séptico,Chasse branchee a latrines,non-vip pit latrine with slab,pit latrine ventilated improved pit latrine,composting latrine- exclusive,,pit latrine - without slab/open pit,river /creek/stream,Descargan en el patio,otro,not de-jure resident,,,Excusado,
chasse raccordee … l'egout,conectado a una fosa septica,chasse branchee a latrines,pit latrine - with slab,"Pit latrine, ventilated and elevated",composting latrine- shared,,pit latrine without slab,river or creek,descargan en el patio,outras,not dejure member,,,excusado lavable,
cloaca o tanque septico,connected to septic tank,chasse branchee a un endroit inconnu,pit latrine - with slab,"Pit latrine, ventilated and not elevated",mobile chemical toilet,,pit latrine without slab / open pit,"river, canal",does not have,Outro,non de jure resident,,,excusado o letrina,
"com fosse de esgotos (pia,sanita)",connected to septic well,chasse branchee aux latrines,pit latrine - with slab,"pit latrine, ventilated improved",,,pit latrine without slab/ open pit,"river, stream, creek",does not have sanitary service,outro,not a dejure resident,,,excusado o letrina con tratamiento,
Conectado a alcantarillado sanitario,"Da, septicka jama",chasse branchée a autre chose,pit latrine w. slab and foot rest,Pit/Blair toilet,,,Pit latrine without slab/open pit,river/canal,field,outros,not de jure resident,,,excusado o letrina sin tratar,
conectado a alcantarillado sanitario,Descargan en pozo ciego,chasse branchée a endroit inconnu/pas sure,pit latrine w. slab/cover and foot rest,shared vent. imp lat,,,pit latrine without slab/open pit,river/stream,Has not,OTHER,no dejure resident,,,Excusado o letrina sin tratar,
conectado a la red publica,descargan en pozo ciego,chasse branchée a endroit inconnu/pas sûre,Pit latrine with slab,v.i.p. latrine,,,"pit latrine, without slab/open pit",river/stream/creek,jetces dans la nature,other specify,Don t know,,,excusado o sanitario sin conexion de agua,
connected to open sewer,Descargan en pozo septico,chasse d'eau,pit latrine with slab,vent. imp. pit latr.,,,pit toilet without bassinet (private),river/stream/creek,letrina al aire libre,otherwise,don't know/missing,,,excusado o sanitario sin conexion de agua,
Connected to sewage system or septic tank,descargan en pozo septico,chasse d'eau en com.,pit latrine with slab and cover,vent. imp. pit latrine,,,pit toilet without bassinet (shared),stream/river,"mato, praia ou campo",Other without septic  tank,no response,,,excusado sin conexion de agua,
connected to sewage system or septic tank,desgüe a fosa séptica,chasse d'eau person.,pit latrine with slab that can not be washed,vent.imp.pit latrine,,,poco roto somente,toilet colgante,nearby (bush/beach/field),other place,not known,,,Excvusado o letrina con tratamiento,
connected to sewer,direct on cesspool,collec. flush toilet,pit latrine with washable slab,vented improved pit latrine,,,"priv latrine, wo /box",toilet directly over the water,NINGUNO,other and none,not stated/missing,,,FOSA SIMPLE,
"Da, javna kanalizacija",evacuación a pozo séptico,connected to rain water,pit latrine with watertight tank,ventil. improv. pit,,,private latrine without slab,toilet on water,no,,NIU (not in universe),,,fosse,
descarga para o sist.de esgoto ou fossa,excusado conectado a una fosa septica,ex.co. avec ch d eau,"pit latrine, with slab",ventilated improv pt,,,rudimentary pit toilet latrine,"toilet to creek, open space",no bathroom,,noresponse,,,fosse improvis‚e,
desgüe al sistema de alcantarillado,excusado o sanitario conectado a una fosa septica,ex.pr. avec ch d eau,pit toilet with basinet (private),ventilated improved latrine,,,"share latrin, wo /box",toilet to river /lake,no dispone de servicio sanitario,,,,,fosse sommaire,
egout,excusado y pozo ciego,Exclusive Flush Toilet,pit toilet with bassinet (shared),ventilated improved pit,,,share latrine without slab,toilette suspendues/latrines suspendues,no disponen de servicio sanitario,,,,,Gifili,
evacuación a alcantarillado,excusado y pozo septico,excusado o sanitario con rubor o conexion de agua,"priv latrine, box",ventilated improved pit (vip) latrine,,,traditional pit toilet (uncovered),Toilettes suspendues/latrines suspendues,no fac. /bush/field,,,,,ground pit,
excusado con conexion de agua,EXCUSADO Y POZO SEPTICO/CIEGO,flash toilet,private latrine with slab,ventilated improved pit (vip) latrines,,,trou ouvert,traditional toilet to sea/river (low tide),no facilities,,,,,gutter/drain,
excusado o sanitario con conexion de agua,flush - to septic tank,flish toilet,sealed pit,ventilated improved pit latrine,,,uncovered latrine,excusado que da a rio o quebrada,No facilities,,,,,"Have toilet, type not specified",
EXCUSADO Y ALCANTARILLADO,flush to septic tank,Flush,share latrine with slab,Ventilated Improved Pit Latrine,,,Uncovered pit latrine,"rio, acequia, canal",No facilities (open defecation),,,,,"have toilet, type not specified",
excusado y alcantarillado,Flush to septic tank,flush,"share latrine, box",ventilated improved pit latrine (laa),,,uncovered pit latrine,Hanging latrine,no facilities or bush or field,,,,,household non-flush,
flush - to piped sewer system,flush toilet connected to a septic tank,Flush (Manual),TASA CAMPESINA,Ventilated Improved Pit latrine (VIP),,,uncovered pit latrine no slab,toilet to river/lake,No facilities or bush or field,,,,,household pit,
flush connected to sewer/with septic tank,flush toilet to septic tank,Flush (Mechanical),traditional pit toilet (covered),ventilated improved pit latrine (vip),,,"uncovered pit latrine, no slab",Hanging toilet or over water,"no facilities, bush",,,,,in residence /private,
Flush to piped sewage system,flush with septic ta,flush - don't know where,uncovered pit latrine with slab,ventilated improved pit toilet,,,vala aberta,Toilet discharge in river or creek,"no facilities, bush",,,,,in residence public,
flush to piped sewer system,Flush with Septic Tank Exclusive,flush - to pit latrine,"uncovered pit latrine, with slab",ventilated improved pit/latrine (vip blair toilet),,,"vala negra, aberta",toilet/hanging latrine,"no facilities, bush, field",,,,,INODORO,
Flush to piped sewer system,Flush with Septic Tank Shared,flush - to somewhere else,water seal,ventilated improved privy,,,valas a céu aberto,toilet hanging (on stilts),No facilities/ bush/ field,,,,,INODORO,
