hhconnection,pubtapstandpipe,tubewellborehole,prowell,prospring,rainwater,unprowell,unprospring,carttruck,bottled,surface,otherwater,missingwater,improvedotherwater,unimprovedotherwater,halfimprovedwater,unknownwater
agua canalizada dentro de casa,ca¤er¡a p£blica,borehole public,dug well - protected,"protected, dug well or spring",Citerne eau pluie,neighbour's open well,Spring (unprotected),camion citerne,bottled/sachet water,canal/river/stream,other (in concession,no sabe,DENTRO VIVIENDA,Se la regalan,,
agua canalizada em casa,caño vertical pública,borehole with pump,fonte ou po‡o protegido,Spring (covered),colección de aguas lluvia,no pipe Well winch,spring - unprotected,camion citerne vendeur d'eau,bottler water,channel of river,Other (Specify),none,destilada,sonede,,
agua canalizada no quintal,caño vertical público,borehole with pump in residence,have a well in your yard,Spring (protected),Collected rain water,non proteceted well,Spring or rain water,"camion citerne, vendeur d'eau",bottlet water,"charca/estanque, rio arroyo",Other (specify),not a de-jure resident,filtrada,souce non amenagee,,
agua de chorro (dentro de la casa),chafariz,borehole with pump outside residence,mod. public well,spring - protected,collected rainwater,non protected well,spring or well,"camion citerne, vendeur eau",bought/bottled,"charca/estanque, río o arroyo",other (specify),not a dejure place of residence,Fora da casa/quintal,souce not protected,,
agua de chorro (patio),"chafariz, fontenário",borehole/ tubewell,mod. well in resid.,Spring covered,de lluvia,open dug well,Spring or well,"camion citerne,vendeur d'eau",branded bottled water,Coverd pond,Other non-network source,not a dejure resident,foundatin- Nabah,source,,
agua de pipa,CHORRO COMPARTIDO,borehole/hand pump,neighbor well,Spring protected,drums,open public well,Spring un protec,camion citerne/vendeur d'eau,buy mineral water,"creek, spring, river, lake",other source,not applicable,fuente de agua protegida,source non amenagee,,
agua de tuberia en el patio o lote,chorro compartido (común),borehole/pump,Per carry private well,springs protected,eau de pluie,open public well {cg},Spring uncovered,camion o tanque aguatero,de botella,creek/river,Other source,not de jure resident,Fuente de agua protegida,source non aménagée,,
agua de tuberia en la casa,Chorro publico,borehole/well,pozo p_blico o privado,Well or Spring- Protected,Eau de pluie,open well,spring unprotected,camion sisterna,eau en bouiteille,dam,other source for water,not de-jure resident,FUENTE PROTEGIDA,source non protegee,,
agua de tubería en el patio o lote,chorro publico,boreholes/protected wells,pozo privado,village hydraulics / other protected well,eau de pluie (sans systeme de captage),Open well,spring water,camion tanque,eau en boutaille,Dam,other sources,not dejure member,Fuera de la vivienda,Source non protegee,,
Agua de tubería en el patio o lote,CHORRO PUBLICO,common pump,Pozo privado,,eau de pluie / citerne,open well (< 5 meters),Spring water,camion tanque (para tomar),Eau en bouteille,dam/lake/canal,other sources of water,not dejure resident,Fuera de vivienda,source non proteg‚e,,
agua de tubería en la casa,chorro público,communal water pump,POZO PRIVADO,,eau de pluie collect‚e,open well (<= 5 meters),"spring, kuwa",camion tanque/aguatero,eau en bouteille,Dam/lake/pan,other tank/pond,not in de jure sample,Fuera viv. Dent.edi,source non prot‚g‚e,,
Agua de tubería en la casa,commnal tap,covered public well/ borehole,pozo protegido,,eau de puitollection,open well - in dwelling,"spring, not improved",camion tanquero,eau en bouteille/minerale,dam/lake/pan,Other Types,not known,Fuera viv. y edif.,source non protégée,,
Agua Encanada(cozi.),common distribution from network,covered well/ brohole in yard/ plot,pozo protegido/cubierto,,ice/snow,open well - in yard/plot,Spring-fountain,CAMION TANQUERO,eau minerale,dam/lake/pond,Other(in hh),not reported,Fuera viv.Dent.edi,stationary tank /pool,,
agua encanada(cozi.),common pipe,covered well/borehole in the yard,Pozo publico o privado,,jabia/rain/harvested,open well - into dwelling,Spring/Fountain,"Camion, carreta o pipa",eau minerale (bouteille/sachet),dam/lake/pond/canal/irrigation channel,other(out of concess,not specified,Fuera viv.y edif.,Traditional way for collecting water,,
agua encanada(quin.),Communal Stand Pipe,deep tubewell,pozo publico o privado,,Jabia/rain/harvested,open well - into yard/plot,Spring/well/borehole,"camion, carreta o pipa",eau minerale/eau de table,Dam/Pan,Other(outside hh),not stated,Fuera viv.y edificio,Truck pipe water,,
Agua Encanada(quin.),Communal standpipe/bolehole,deep well/pump,Pozo sanitario,,Lluvia,open well - public,spring/well/borehole,"Camion, citerne",mineral water,dam/pan,other(specify),Not stated,FUERA/DENTRO PROP.,"Truck, Wagon or Pipe",,
agua entubada con una conexión en la casa o en el jardín,Communal standpipe/borehole,Deet tubewell,pozo sanitario,,lluvia,open well /hole/cesspool in residence,springs,"camion, tanque aguat",sachet water,Dam/pan/lake,other/ not stated,Not Stated,gfs,Unsafe drinking water,,
agua entubada de otra vivienda,Communal tap,deet tubewell,pozo subterraneo protegido o fuente protegida,,"Lluvia, tanque...",open well /hole/cesspool outside residence,sprong/kuwa,"camion, tanque, otro vendedor",sachet/bottled water,Dam/pool,other___________________,not stated/missing,gravity flow scheme,Water refill,,
agua entubada dentro de la vivienda,communal tap,drill wells / pumps,pozo subterráneo protegido o fuente protegida,,LLUVIA/TANQUE,open well at neighbour,uncovered spring,Cami¢n tanque,satchel water,dam/river/stream/spring,others,Notappl,gravity flow water,without drinking water,,
agua entubada fuera de la vivienda pero en el terreno,Communal tap outside locality,Drilling,poço ou fonte de água protegida,,lluvia/tanque,Open well elsewhere,undeveloped spring,cami¢n tanque agua.,water sachets (pure water),dam/stagnant water,Others,NR,in building,,,
"agua entubada fuera de la vivienda pero si en el edificio, vecindad o",Communal tap within locality,drilling equipped with pump,poço protegido,,lluvia/tanque/aljibe,open well in compound/plot,unprotect spring,Cami¢n tanque agua.,Água engarrafada/mineral,decanter,others (specify),NS,In community,,,
agua por pipa,community stand pipe,forage,Priv well protec,,other rain water,open well in dwelling,Unprotected dug well or spring,"cami¢n, tanque agua",,Dugout/pond/dam,otra,ns/nr,in neighbor's land,,,
agua por pipa del servicio particular,Comunal tap,Forages,private dwelling,,other rainwater,"open well in dwelling, yard/plot {cg}",unprotected dug well or spring,"cami¢n, tanque aguat",,dugout/pond/lake/dam,Otra,nsp,in own land,,,
agua por pipa del servicio publico,de una llave pública (o hidratante),furo com bomba,Private Well,,"pirvate catchment, not piped",open well in dwelling/yard,unprotected dug well or unprotected spring,"Cami¢n, tanque aguat",,dugout/pond/lake/dam/pool,otra fuente,NZ,in residence,,,
agua por tuberia de pila o grifo privado,"del acueducto,  llave publica",Hand pump,Private well,,Pluie,open well in residence,unprotected dug well/spring,camião cistern,,Eau de surface,Otra fuente,não resposta,in the courtyard,,,
Agua por tuberia de pila o grifo privado,"del acueducto,  llave pública",Hand Pump,private well,,Pozo o aljibe,Open well in residencey/ yard/ plot,unprotected dug well/unprotected spring,camião cisterna,,eau de surface,otras (especifique),pas de reponse ou nsp,in the house,,,
agua por tuberia dentro de la vivienda,"del acueducto, llave publica",hand pump,Private well (protected),,pozo o aljibe,open well in yard,unprotected public well/spring,camião cisterna de distribuição,,External channel,otro,Sem info,inside dwelling,,,
