pubsewer,septic,pourflush,simplepit,vip,composting,bucket,openlatrine,hanging,opendef,othersan,missingsan,improvedothersan,unimprovedothersan,halfimprovedsan,unknownsan
chasse d'eau avec egouts ou fosse septiques,cesspool or latrine,chasse branchee a fosses simples,Enclosed pit latrine,latrine a evacuation,dry raised latrine,pail/bucket latrine,edicule publict latrine,hanging toilet/ hanging letrine,Bush/river,Other (Specify),No Response / Blank,INODORO,Not connected to sewage disposal system,,
chasse eau avec egouts ou fosse,"Cesspool, cess pit, septic pit",chasse branchee a latrines,FOSA SIMPLE,latrine a fosse ventillee),dry toilet,pan,ex.co. sans ch d eau,Hanging toilet/hanging latrine,bush/river,other and none,No toilet/not stated,Inodoro,other - to hole,,
chasse raccordee & l'egout,"cesspool, cess pit, septic pit",Chasse branchee a latrines,Fosse etanche,latrine améliorée à ventillation,enviro-loo communal,Pan,ex.pr. sans ch d eau,hanging toilet/hanging latrine,bushes/forest/yard,other place,non de jure resident,Inodoro individual,out/public,,
chasse raccordee … l'egout,Cesspoolor latrine,chasse branchee a un endroit inconnu,fosse ‚tanche,latrine avec dalle ventill‚e,latrine seches traditionnelles,pan or bucket,Exclusive Latrine,hanging toilet/latrine,"capim, mato, ar livre",other specify,noresponse,inodoro privado,outside house,,
cloaca o tanque septico,Chasse branchee a fosse septique,chasse branchee aux latrines,improved latrine,latrine … ventilation,latrine with composting facility,Pan or bucket,Exclusive Pit Latrine,"inodoro, que descarga en rio o quebrada",Dans la  Nature,Other type,not a dejure resident,Inodoro Privado,"outside house , shared",,
"com fosse de esgotos (pia,sanita)",chasse branchee a fosse septique,chasse branchée a autre chose,improved latrines,latrine … ‚vacuation,letrina abonera,pan/bucket,excusado o letrina,"Inodoro, que descarga en rio o quebrada",Dans la nature,other type of toilet,not available,Inodoro(lavable),"outside house, no flush",,
Community sewerage system,chasse branchée a fosse septique,chasse branchée a endroit inconnu/pas sure,improved pit latrine,latrine à évacuation,letrina abonera seca con plataforma para sentarse,pots de champbre,excusado o letrina con tratamiento,latrine over river/lake,dans la nature,Other Types,not de jure resident,inside dwelling,outside public,,
Conectado a alcantarillado sanitario,chasse branchée a puits perdu,chasse branchée a endroit inconnu/pas sûre,improved pit toilet latrine,latrines  a evacuation,letrina abonera seca sin plataforma para sentarse,private pan,excusado o letrina sin tratar,latrine overhanging field or water,Defecation in field/ outsied the house,other types,not de-jure resident,inside house,PLACEHOLDER,,
conectado a alcantarillado sanitario,chasse d'eau ou fosse septique,chasse d'eau,Improved Vault Latrine,latrines a evacuation,letrina seca cubirta (con intimidad),sceau,Excusado o letrina sin tratar,latrine overhanging water (for hh living on boat),descargan en el patio,Other used facility,not dejure member,Inside house(exclusive,publ (street) toilet,,
conectado a la red publica,com fossa septica e poco roto,chasse d'eau en com.,Latrina melhorada,latrines ameliorees a ventilation,own enviro-loo,seau,Excvusado o letrina con tratamiento,no tiene sanitario/usa el río,Descargan en el patio,Other without septic  tank,not dejure resident,"inside house, no flush",public,,
Connected  to sewerage,conectado a tanque séptico,chasse d'eau person.,Latrina tradicional melhorada,latrines ameliorees a ventillation,pit latrine ventilated compost,seaux/tinettes,fossa rudimentar,other - to river/lake/ocean,does not have,Other without septic tank,not known,interieur,Public,,
connected to a public sewerage plant,Conectado a tanque séptico,collec. flush toilet,latrine avec dalle non ventill‚e,Latrines ameliorees auto aerees (LAA),"Pit latrine, ventilated compost",Seaux/tinettes,Fossa Rudimentar,pond,does not have sanitary service,others,not specified,latrine with siphon,public  toilet,,
connected to open sewer,conectado a una fosa septica,communal flush,Latrines couvertes,latrines ameliorees auto aerees (laa),toilet para compostación (fertilizante),service or bucket latrine where excreta are manually removed,fosse,pond/lake,don't use a toilet,Others,Not Stated,loo,Public toilet,,
Connected to sewage system or septic tank,connected to drainage system used only by this household,communal flush toilet,latrines couvertes,latrines amelior‚es (vip),toilettes a compostage,,fosse improvis‚e,rio o quebrada,field,others (specify),not stated,modern,public toilet,,
connected to sewage system or septic tank,connected to septic tank,communal/shared flush toilet,latrines tradionnelle couertes,latrines améliorées ventillées,Toilettes a compostage,,fosse sommaire,"rio, acequia, canal",Has not,otherwise,Not stated,Municipal-type toilet exclusive home,public toilet (flush/bucket/kvip),,
connected to sewer,connected to septic well,connected to rain water,latrines traditionnelle ameliorees,latrines e‚vacuation,Uncovered dry latrine (without privacy),,ground pit,"rios, ribeiros e linha de água",Households without toilet / latrine,Otra,Not stated/Do not know,"Ne, samo poljski WC",publictoilet,,
Connected to sewerage,"Da, septicka jama",drenaje al río o mar,Letrina colec c/caj,latrines … evacuation,mobile chemical toilet,,hole,river,jetces dans la nature,otra,Not stated/don't know,neighbor s toilet,Retrete sem autoclismo,,
